502,AJL,CCU,1500,1610
459,AJL,GAU,1130,1235
314,AMD,BBI,1800,2025
436,AMD,BLR,905,1100
6257,AMD,BLR,1100,1320
6992,AMD,BLR,1250,1445
157,AMD,BLR,2000,2240
876,AMD,BOM,715,840
5363,AMD,BOM,1000,1120
6343,AMD,BOM,1315,1440
313,AMD,BOM,2200,2325
207,AMD,CCU,910,1130
6135,AMD,CCU,1615,1855
6992,AMD,CJB,1250,1650
895,AMD,COK,645,905
6115,AMD,DED,940,1130
2013,AMD,DEL,510,650
554,AMD,DEL,705,845
2258,AMD,DEL,920,1040
2045,AMD,DEL,1145,1340
2615,AMD,DEL,1835,2015
267,AMD,DEL,2110,2250
501,AMD,DEL,2315,55
161,AMD,GOI,1820,2010
5941,AMD,HBX,1515,1700
645,AMD,HYD,545,735
383,AMD,HYD,1540,1725
6132,AMD,HYD,1925,2135
371,AMD,HYD,2130,2335
7296,AMD,IDR,1440,1545
226,AMD,IXB,840,1115
6177,AMD,IXC,810,945
6177,AMD,IXC,810,1000
554,AMD,IXJ,705,1100
917,AMD,JAI,1140,1300
1753,AMD,KWI,730,940
572,AMD,LKO,805,1015
806,AMD,LKO,1300,1450
122,AMD,LKO,1720,1910
198,AMD,MAA,930,1200
534,AMD,MAA,1935,2155
158,AMD,NAG,625,745
6851,AMD,PAT,1510,1720
918,AMD,PNQ,1525,1640
7296,AMD,RPR,1440,1800
6177,AMD,SXR,810,1150
645,AMD,TRV,545,1015
6174,AMD,VNS,1130,1320
6845,ATQ,BLR,1110,1415
6261,ATQ,BOM,1010,1245
5926,ATQ,CCU,940,1215
2057,ATQ,DEL,1050,1205
152,ATQ,DEL,1545,1645
286,ATQ,DEL,1545,1645
3274,ATQ,DEL,1615,1730
2167,ATQ,DEL,2200,2315
286,ATQ,PNQ,1545,1935
8449,ATQ,SHJ,2335,200
1834,AUH,BOM,2355,420
1836,AUH,DEL,930,1425
318,BBI,AMD,605,845
334,BBI,BLR,645,910
537,BBI,BLR,905,1055
6892,BBI,BLR,1300,1510
6869,BBI,BLR,2110,2325
6849,BBI,BOM,930,1220
6849,BBI,BOM,1005,1240
6375,BBI,BOM,1700,1935
6572,BBI,CCU,615,735
458,BBI,CCU,1400,1515
809,BBI,CCU,2050,2200
948,BBI,COK,900,1250
2161,BBI,DEL,700,945
2161,BBI,DEL,715,945
2256,BBI,DEL,1140,1410
2405,BBI,DEL,1835,2105
342,BBI,HYD,840,1020
309,BBI,HYD,1600,1750
117,BBI,HYD,2120,2310
948,BBI,MAA,900,1050
209,BBI,MAA,1810,2010
6505,BDQ,BLR,1140,1530
808,BDQ,BLR,1245,1445
6112,BDQ,BOM,700,805
6367,BDQ,DEL,815,935
2512,BDQ,DEL,1320,1445
6505,BDQ,HYD,1140,1320
538,BHO,BLR,1300,1455
543,BHO,BLR,1930,2135
661,BHO,BOM,1150,1335
109,BHO,BOM,1730,1915
2062,BHO,DEL,910,1035
2062,BHO,DEL,1005,1130
2052,BHO,DEL,1600,1725
2294,BHO,DEL,2025,2150
7122,BHO,HYD,1420,1645
543,BHO,MAA,1930,2335
78,BKK,CCU,205,320
86,BKK,DEL,1730,2035
586,BLR,AMD,600,810
6255,BLR,AMD,810,1020
156,BLR,AMD,1700,1920
992,BLR,AMD,1950,2205
6844,BLR,ATQ,700,1035
539,BLR,BBI,635,835
6891,BLR,BBI,1015,1205
6891,BLR,BBI,1015,1210
453,BLR,BBI,1640,1845
427,BLR,BBI,1830,2035
6186,BLR,BDQ,720,1110
747,BLR,BDQ,955,1200
211,BLR,BHO,1020,1225
6188,BLR,BHO,1650,1900
894,BLR,BOM,440,605
405,BLR,BOM,620,810
5334,BLR,BOM,750,940
5322,BLR,BOM,910,1055
126,BLR,BOM,1055,1310
734,BLR,BOM,1605,1750
594,BLR,BOM,1900,2055
7287,BLR,CCJ,615,740
2297,BLR,CCJ,1335,1430
6339,BLR,CCU,645,900
344,BLR,CCU,835,1110
824,BLR,CCU,955,1235
938,BLR,CCU,1120,1350
296,BLR,CCU,1420,1650
435,BLR,CCU,1530,1755
479,BLR,CCU,1820,2045
676,BLR,CCU,1935,2205
329,BLR,CCU,2030,2305
6714,BLR,CCU,2140,5
346,BLR,CJB,755,845
418,BLR,CJB,1255,1350
6992,BLR,CJB,1605,1650
7974,BLR,CNN,1000,1125
7349,BLR,CNN,1810,1935
113,BLR,COK,730,840
419,BLR,COK,1245,1345
363,BLR,COK,1430,1540
547,BLR,COK,1555,1715
321,BLR,COK,1850,2000
463,BLR,COK,2015,2130
852,BLR,DED,1220,1510
2012,BLR,DEL,600,845
2247,BLR,DEL,715,1000
2163,BLR,DEL,835,1120
2176,BLR,DEL,1345,1630
2133,BLR,DEL,1455,1735
2487,BLR,DEL,1710,1955
501,BLR,DEL,1710,1955
2017,BLR,DEL,1855,2145
2428,BLR,DEL,2000,2245
2289,BLR,DEL,2140,25
2026,BLR,DEL,2245,125
1724,BLR,DOH,345,600
457,BLR,GAU,525,840
477,BLR,GAU,1630,1930
178,BLR,GOI,625,745
293,BLR,GOI,1210,1315
934,BLR,GOI,1410,1530
636,BLR,GOI,1820,1940
7162,BLR,HBX,1335,1500
7114,BLR,HBX,1815,1940
6186,BLR,HYD,720,840
6159,BLR,HYD,820,945
281,BLR,HYD,910,1035
635,BLR,HYD,1150,1305
6139,BLR,HYD,1440,1600
221,BLR,HYD,1645,1800
6915,BLR,HYD,1800,1920
7684,BLR,HYD,2000,2135
827,BLR,HYD,2305,20
368,BLR,IDR,1225,1415
401,BLR,IDR,1815,2045
457,BLR,IMF,525,1015
385,BLR,IMF,810,1230
385,BLR,IXA,810,1100
2034,BLR,IXB,1210,1450
592,BLR,IXC,1050,1400
587,BLR,IXC,1610,1920
5998,BLR,IXD,1025,1300
2175,BLR,IXE,1030,1130
279,BLR,IXE,1230,1320
181,BLR,IXE,1800,1900
7223,BLR,IXG,1130,1245
139,BLR,IXM,1045,1200
255,BLR,IXR,1345,1615
255,BLR,IXR,1800,2005
344,BLR,IXS,835,1255
6897,BLR,IXU,740,915
469,BLR,JAI,540,820
995,BLR,JAI,1010,1245
847,BLR,JAI,1625,1900
481,BLR,JAI,1900,2135
6412,BLR,JDH,1040,1325
451,BLR,LKO,510,745
625,BLR,LKO,1125,1400
388,BLR,LKO,1540,1815
6388,BLR,LKO,1915,2145
6217,BLR,MAA,555,715
6012,BLR,MAA,800,905
857,BLR,MAA,930,1050
6269,BLR,MAA,1255,1355
523,BLR,MAA,1455,1620
6189,BLR,MAA,1655,1810
6004,BLR,MAA,1920,2015
